Z,ion_charge,nele,parent_config,level_config,J,parity,term,level_meV,level_eV,has_nist_level,parent_config_id,element,E_nist_hartree,E_fac_hartree,E_pinn_hartree,ΔE_PINN_meV,ΔE_FAC_meV,ΔE_PINN_FAC_meV,E_nist_meV
5,4,1,1s1,2s1,0.5,0,2S,255106.7460561375,255.1067460561375,True,28115158,B,-3.125,-3.126299411245273,-3.1154580116271973,259.65073116706174,-35.35878128750074,295.00951245456247,-85035.5820187125
5,4,1,1s1,3s1,0.5,0,2S,302348.7360665333,302.3487360665333,True,28115158,B,-1.3888888888888888,-1.3893447602499138,-1.3787933588027954,274.7133685306808,-12.404891683335087,287.1182602140159,-37793.592008316664
5,4,1,1s1,4s1,0.5,0,2S,318883.4325701719,318.8834325701719,True,28115158,B,-0.78125,-0.7824907451431053,-0.7663434743881226,405.6272260105097,-33.76239532187329,439.38962133238294,-21258.895504678127
5,4,1,1s1,5s1,0.5,0,2S,326536.634951856,326.536634951856,True,28115158,B,-0.5,-0.500640120898235,-0.49337276816368103,180.3361652397838,-17.418577006000074,197.7547422457839,-13605.693122994
5,4,1,1s1,6s1,0.5,0,2S,330693.93007277086,330.69393007277085,True,28115158,B,-0.3472222222222222,-0.3475945339386945,-0.3412041962146759,163.75883012974364,-10.131117920834106,173.88994805057774,-9448.398002079166
5,4,1,1s1,7s1,0.5,0,2S,333200.6479100571,333.2006479100571,True,28115158,B,-0.25510204081632654,-0.2553373410376847,-0.25434228777885437,20.67393335421771,-6.402845207143037,27.076778561360744,-6941.680164792857
5,4,1,1s1,8s1,0.5,0,2S,334827.6041986805,334.8276041986805,True,28115158,B,-0.1953125,-0.19547055530051244,-0.19866067171096802,-91.10839364504122,-4.300903830469671,-86.80748981457155,-5314.723876169532
5,4,1,1s1,9s1,0.5,0,2S,335943.0400739259,335.94304007392594,True,28115158,B,-0.15432098765432098,-0.15443222561362827,-0.153164803981781,31.46136048479012,-3.0269390759260695,34.48829956071619,-4199.2880009240735
5,4,1,1s1,10s1,0.5,0,2S,336740.9047941015,336.7409047941015,True,28115158,B,-0.125,-0.125081226999298,-0.13597390055656433,-298.6150466697347,-2.210299251500345,-296.40474741823436,-3401.4232807485
6,5,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,C,-18.0,-18.008620309531292,-18.002729415893555,-74.27119010545508,-234.57057221595244,160.29938211049736,-489804.952427784
6,5,1,1s1,2s1,0.5,0,2S,367353.714320838,367.353714320838,True,28115158,C,-4.5,-4.5026964040858015,-4.503518581390381,-95.74547725159906,-73.37289305400527,-22.372584197593774,-122451.238106946
6,5,1,1s1,3s1,0.5,0,2S,435382.179935808,435.382179935808,True,28115158,C,-2.0,-2.000949900449405,-1.9611438512802124,1057.3296708456924,-25.848108024000513,1083.177778869693,-54422.772491976
6,5,1,1s1,4s1,0.5,0,2S,459192.1429010475,459.1921429010475,True,28115158,C,-1.125,-1.1269209669360822,-1.0886363983154297,989.5040107341026,-52.272173263505856,1041.7761839976085,-30612.8095267365
6,5,1,1s1,5s1,0.5,0,2S,470212.7543306727,470.2127543306727,True,28115158,C,-0.72,-0.7202354419885384,-0.7000076770782471,544.0188209783375,-6.406702888642445,550.42552386698,-19592.19809711136
6,5,1,1s1,6s1,0.5,0,2S,476199.25930479,476.19925930479,True,28115158,C,-0.5,-0.5005789479765413,-0.4818941056728363,492.6864838654944,-15.753977005999715,508.44046087149405,-13605.693122994
6,5,1,1s1,7s1,0.5,0,2S,479808.93299048225,479.8089329904823,True,28115158,C,-0.3673469387755102,-0.3677132803726699,-0.35997021198272705,200.7309619895512,-9.968662698284813,210.699624687836,-9996.019437301715
