Z,ion_charge,nele,parent_config,level_config,J,parity,term,level_meV,level_eV,has_nist_level,parent_config_id,element,E_nist_hartree,E_fac_hartree,E_pinn_hartree,ΔE_PINN_meV,ΔE_FAC_meV,ΔE_PINN_FAC_meV,E_nist_meV
2,1,1,1s1,7s1,0.5,0,2S,53312.103665609146,53.31210366560914,True,28115158,He,-0.04081632653061224,-0.040848143124787795,-0.05029452592134476,-257.9149445377106,-0.8657736331428246,-257.0491709045678,-1110.668826366857
2,1,1,1s1,8s1,0.5,0,2S,53572.41667178887,53.57241667178887,True,28115158,He,-0.03125,-0.03127132415480893,-0.0365942008793354,-145.42311430374437,-0.5802598128751096,-144.84285449086926,-850.355820187125
2,1,1,1s1,9s1,0.5,0,2S,53750.88641182815,53.75088641182815,True,28115158,He,-0.024691358024691357,-0.024706339909423832,-0.04050161689519882,-430.2190607744366,-0.40767785214826135,-429.8113829222884,-671.8860801478518
2,1,1,1s1,10s1,0.5,0,2S,53878.54476705624,53.87854476705624,True,28115158,He,-0.02,-0.020010924841445146,-0.0625109076499939,-1156.7807277315098,-0.2972800802400227,-1156.48344765127,-544.22772491976
3,2,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,Li,-4.5,-4.50053447821153,-4.508625030517578,-234.69903679725215,-14.543893054006757,-220.1551437432454,-122451.238106946
3,2,1,1s1,2s1,0.5,0,2S,91838.4285802095,91.8384285802095,True,28115158,Li,-1.125,-1.125167833171828,-1.1048164367675781,549.2227349377537,-4.566973263501045,553.7897082012547,-30612.8095267365
3,2,1,1s1,3s1,0.5,0,2S,108845.544983952,108.845544983952,True,28115158,Li,-0.5,-0.5000597204784537,-0.47326698899269104,727.4422880381328,-1.6250770059990098,729.0673650441319,-13605.693122994
3,2,1,1s1,4s1,0.5,0,2S,114798.03572526187,114.79803572526187,True,28115158,Li,-0.28125,-0.2810435304863436,-0.2539970576763153,741.5903399094179,5.618321684125108,735.9720182252928,-7653.202381684125
3,2,1,1s1,5s1,0.5,0,2S,117553.18858266817,117.55318858266817,True,28115158,Li,-0.18,-0.1800148123920816,-0.19093240797519684,-297.485976011801,-0.40306572215997893,-297.08291028964095,-4898.04952427784
3,2,1,1s1,6s1,0.5,0,2S,119049.8148261975,119.0498148261975,True,28115158,Li,-0.125,-0.1251184702323637,-0.12824127078056335,-88.19947113774445,-3.223739251500405,-84.97573188624405,-3401.4232807485
3,2,1,1s1,7s1,0.5,0,2S,119952.23324762056,119.95223324762057,True,28115158,Li,-0.09183673469387756,-0.09191144498817104,-0.10239651054143906,-287.3461392590513,-2.0329706745714287,-285.31316858447985,-2499.0048593254287
3,2,1,1s1,8s1,0.5,0,2S,120537.93751152497,120.53793751152497,True,28115158,Li,-0.0703125,-0.0703626027241554,-0.06747885793447495,77.10732872788151,-1.363364578968745,78.47069330685025,-1913.3005954210312
3,2,1,1s1,9s1,0.5,0,2S,120939.49442661334,120.93949442661334,True,28115158,Li,-0.05555555555555555,-0.055590773153757655,-0.07771074026823044,-602.8732885678049,-0.9583196673334378,-601.9149689004715,-1511.7436803326666
3,2,1,1s1,10s1,0.5,0,2S,121226.72572587655,121.22672572587655,True,28115158,Li,-0.045,-0.045025690309351406,-0.055510878562927246,-286.01557636048864,-0.6990689305400649,-285.31650742994856,-1224.51238106946
4,3,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,Be,-8.0,-8.001697231874868,-7.993285179138184,182.71958404350426,-46.184032096030364,228.90361613953462,-217691.089967904
4,3,1,1s1,2s1,0.5,0,2S,163268.317475928,163.268317475928,True,28115158,Be,-2.0,-2.000531638039063,-1.9748221635818481,685.1238316126331,-14.466608024002296,699.5904396366354,-54422.772491976
4,3,1,1s1,3s1,0.5,0,2S,193503.19108258132,193.50319108258134,True,28115158,Be,-0.8888888888888888,-0.8890779830655259,-0.8608468174934387,763.0636358791648,-5.145514677337551,768.2091505565024,-24187.898885322666
4,3,1,1s1,4s1,0.5,0,2S,204085.39684491,204.08539684490998,True,28115158,Be,-0.5,-0.4996708171015977,-0.4609735906124115,1061.9626996397228,8.957522993998278,1053.0051766457245,-13605.693122994
4,3,1,1s1,5s1,0.5,0,2S,208983.44636918782,208.98344636918782,True,28115158,Be,-0.32,-0.32038354280041054,-0.30742570757865906,342.16392784710825,-10.43673128383882,352.60065913094707,-8707.64359871616
4,3,1,1s1,6s1,0.5,0,2S,211644.11524657332,211.6441152465733,True,28115158,Be,-0.2222222222222222,-0.22244493739794124,-0.2500128448009491,-756.2213650062124,-6.060388669333746,-750.1609763368787,-6046.974721330666
4,3,1,1s1,7s1,0.5,0,2S,213248.41466243658,213.24841466243657,True,28115158,Be,-0.16326530612244897,-0.16340589890585178,-0.16429336369037628,-27.974871563981218,-3.825724532572388,-24.14914703140883,-4442.675305467428
4,3,1,1s1,8s1,0.5,0,2S,214289.6666871555,214.2896666871555,True,28115158,Be,-0.125,-0.12509435716461811,-0.13604983687400818,-300.6813791337972,-2.5675892514997742,-298.1137898822974,-3401.4232807485
4,3,1,1s1,9s1,0.5,0,2S,215003.5456473126,215.0035456473126,True,28115158,Be,-0.09876543209876543,-0.0988317954729893,-0.09305454045534134,155.40127831819802,-1.8058394085928782,157.2071177267909,-2687.544320591407
4,3,1,1s1,10s1,0.5,0,2S,215514.17906822497,215.51417906822496,True,28115158,Be,-0.08,-0.08004843341346325,-0.10560725629329681,-696.8089416969066,-1.317940320960138,-695.4910013759464,-2176.91089967904
5,4,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,B,-12.5,-12.504152045916687,-12.458772659301758,1121.8530916348088,-112.98292515004266,1234.8360167848514,-340142.32807485
5,4,1,1s1,2s1,0.5,0,2S,255106.7460561375,255.1067460561375,True,28115158,B,-3.125,-3.126299411245273,-3.0885722637176514,991.2492020459796,-35.35878128750074,1026.6079833334804,-85035.5820187125
5,4,1,1s1,3s1,0.5,0,2S,302348.7360665333,302.3487360665333,True,28115158,B,-1.3888888888888888,-1.3893447602499138,-1.3656071424484253,633.5285948726098,-12.404891683335087,645.9334865559449,-37793.592008316664
5,4,1,1s1,4s1,0.5,0,2S,318883.4325701719,318.8834325701719,True,28115158,B,-0.78125,-0.7824907451431053,-0.751422107219696,811.6583113487678,-33.76239532187329,845.4207066706412,-21258.895504678127
5,4,1,1s1,5s1,0.5,0,2S,326536.634951856,326.536634951856,True,28115158,B,-0.5,-0.500640120898235,-0.4798181354999542,549.1765100749391,-17.418577006000074,566.5950870809392,-13605.693122994
5,4,1,1s1,6s1,0.5,0,2S,330693.93007277086,330.69393007277085,True,28115158,B,-0.3472222222222222,-0.3475945339386945,-0.3385120630264282,237.0155061407944,-10.131117920834106,247.1466240616285,-9448.398002079166
5,4,1,1s1,7s1,0.5,0,2S,333200.6479100571,333.2006479100571,True,28115158,B,-0.25510204081632654,-0.2553373410376847,-0.2792128920555115,-656.0896857890198,-6.402845207143037,-649.6868405818767,-6941.680164792857
5,4,1,1s1,8s1,0.5,0,2S,334827.6041986805,334.8276041986805,True,28115158,B,-0.1953125,-0.19547055530051244,-0.20085126161575317,-150.71738165071218,-4.300903830469671,-146.4164778202425,-5314.723876169532
5,4,1,1s1,9s1,0.5,0,2S,335943.0400739259,335.94304007392594,True,28115158,B,-0.15432098765432098,-0.15443222561362827,-0.16414323449134827,-267.27695248578345,-3.0269390759260695,-264.2500134098574,-4199.2880009240735
5,4,1,1s1,10s1,0.5,0,2S,336740.9047941015,336.7409047941015,True,28115158,B,-0.125,-0.125081226999298,-0.12339744716882706,43.60768406864855,-2.210299251500345,45.8179833201489,-3401.4232807485
6,5,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,C,-18.0,-18.008620309531292,-17.885807037353516,3107.3488131471663,-234.57057221595244,3341.9193853631186,-489804.952427784
6,5,1,1s1,2s1,0.5,0,2S,367353.714320838,367.353714320838,True,28115158,C,-4.5,-4.5026964040858015,-4.458347797393799,1133.414173113488,-73.37289305400527,1206.7870661674933,-122451.238106946
6,5,1,1s1,3s1,0.5,0,2S,435382.179935808,435.382179935808,True,28115158,C,-2.0,-2.000949900449405,-1.9793769121170044,561.1828099691484,-25.848108024000513,587.0309179931489,-54422.772491976
6,5,1,1s1,4s1,0.5,0,2S,459192.1429010475,459.1921429010475,True,28115158,C,-1.125,-1.1269209669360822,-1.1039302349090576,573.3375160018677,-52.272173263505856,625.6096892653735,-30612.8095267365
6,5,1,1s1,5s1,0.5,0,2S,470212.7543306727,470.2127543306727,True,28115158,C,-0.72,-0.7202354419885384,-0.6796942949295044,1096.7741085901323,-6.406702888642445,1103.1808114787746,-19592.19809711136
6,5,1,1s1,6s1,0.5,0,2S,476199.25930479,476.19925930479,True,28115158,C,-0.5,-0.5005789479765413,-0.4920051097869873,217.55204558055772,-15.753977005999715,233.30602258655745,-13605.693122994
6,5,1,1s1,7s1,0.5,0,2S,479808.93299048225,479.8089329904823,True,28115158,C,-0.3673469387755102,-0.3677132803726699,-0.3857539892196655,-500.88135928529493,-9.968662698284813,-490.91269658701015,-9996.019437301715
6,5,1,1s1,8s1,0.5,0,2S,482151.7500460999,482.1517500460999,True,28115158,C,-0.28125,-0.28149630161268846,-0.2904069721698761,-249.17390655826136,-6.70220831587542,-242.47169824238594,-7653.202381684125
6,5,1,1s1,9s1,0.5,0,2S,483757.97770645336,483.75797770645335,True,28115158,C,-0.2222222222222222,-0.2223956892638004,-0.2328673005104065,-289.6673369185633,-4.720278669333146,-284.94705824923017,-6046.974721330666
6,5,1,1s1,10s1,0.5,0,2S,484906.9029035062,484.9069029035062,True,28115158,C,-0.18,-0.1801267379651659,-0.186015322804451,-163.68527222621577,-3.448715722160076,-160.2365565040557,-4898.04952427784
7,6,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,N,-24.5,-24.5159828304726,-24.314619064331055,5044.472243130324,-434.9149732940222,5479.387216424347,-666678.963026706
7,6,1,1s1,2s1,0.5,0,2S,500009.2222700295,500.00922227002945,True,28115158,N,-6.125,-6.129998321000407,-6.086391925811768,1050.579218949752,-136.01124332351353,1186.5904622732655,-166669.7407566765
7,6,1,1s1,3s1,0.5,0,2S,592603.5226904054,592.6035226904054,True,28115158,N,-2.7222222222222223,-2.7239871916091243,-2.6985578536987305,643.9402721601375,-48.027263699333865,691.9675358594715,-74075.44033630067
7,6,1,1s1,4s1,0.5,0,2S,625011.5278375369,625.0115278375368,True,28115158,N,-1.53125,-1.5340807859854892,-1.5094807147979736,592.3724279314104,-77.02961083087771,669.4020387622882,-41667.435189169126
7,6,1,1s1,5s1,0.5,0,2S,640011.8045056377,640.0118045056378,True,28115158,N,-0.98,-0.9814682118202505,-0.9393027424812317,1107.4287934956433,-39.9520789317608,1147.380872427404,-26667.15852106824
7,6,1,1s1,6s1,0.5,0,2S,648160.1029426308,648.1601029426307,True,28115158,N,-0.6805555555555556,-0.6814124805102065,-0.6723264455795288,223.92549001837753,-23.318115924832767,247.2436059432103,-18518.860084075168
7,6,1,1s1,7s1,0.5,0,2S,653073.269903712,653.073269903712,True,28115158,N,-0.5,-0.5005429005664193,-0.48961418867111206,282.61232354832765,-14.773077006000083,297.3854005543277,-13605.693122994
7,6,1,1s1,8s1,0.5,0,2S,656262.1042294137,656.2621042294137,True,28115158,N,-0.3828125,-0.3831778398109839,-0.4103674292564392,-749.8078229778422,-9.941402707719458,-739.8664202701228,-10416.858797292281
7,6,1,1s1,9s1,0.5,0,2S,658448.3585448948,658.4483585448949,True,28115158,N,-0.30246913580246915,-0.30272662169919917,-0.30864688754081726,-168.10518868401434,-7.006548188815297,-161.09864049519902,-8230.604481811186
7,6,1,1s1,10s1,0.5,0,2S,660012.173396439,660.0121733964389,True,28115158,N,-0.245,-0.24518822891588976,-0.2645995616912842,-533.3312434336037,-5.121969732939995,-528.2092737006637,-6666.78963026706
8,7,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,O,-32.0,-32.02728457571666,-31.757610321044922,6595.75917608766,-742.4511283840365,7338.210304471696,-870764.359871616
8,7,1,1s1,2s1,0.5,0,2S,653073.269903712,653.073269903712,True,28115158,O,-8.0,-8.008531576818518,-7.96824312210083,864.1486704809927,-232.15603209600818,1096.3047025770009,-217691.089967904
8,7,1,1s1,3s1,0.5,0,2S,774012.7643303253,774.0127643303254,True,28115158,O,-3.5555555555555554,-3.558573011482537,-3.5338051319122314,591.8591787723566,-82.10915870934674,673.9683374817033,-96751.59554129066
8,7,1,1s1,4s1,0.5,0,2S,816341.58737964,816.3415873796399,True,28115158,O,-2.0,-2.0040232977120063,-1.9722450971603394,755.249381389875,-109.47950802400237,864.7288894138774,-54422.772491976
8,7,1,1s1,5s1,0.5,0,2S,835933.7854767513,835.9337854767513,True,28115158,O,-1.28,-1.2807437145962508,-1.2545709609985352,691.9594021331536,-20.237505135358923,712.1969072685125,-34830.57439486464
8,7,1,1s1,6s1,0.5,0,2S,846576.4609862933,846.5764609862932,True,28115158,O,-0.8888888888888888,-0.8901120501926333,-0.8628365397453308,708.9205351606922,-33.283914677336384,742.2044498380286,-24187.898885322666
8,7,1,1s1,7s1,0.5,0,2S,852993.6586497463,852.9936586497463,True,28115158,O,-0.6530612244897959,-0.6538370790508035,-0.6366696953773499,446.0362298411253,-21.1120781302891,467.1483079714144,-17770.701221869713
8,7,1,1s1,8s1,0.5,0,2S,857158.666748622,857.158666748622,True,28115158,O,-0.5,-0.5005225634915272,-0.5288965702056885,-786.315733051298,-14.219677005999785,-772.0960560452983,-13605.693122994
