Z,ion_charge,nele,parent_config,level_config,J,parity,term,level_meV,level_eV,has_nist_level,parent_config_id,element,E_nist_hartree,E_fac_hartree,E_pinn_hartree,ΔE_PINN_meV,ΔE_FAC_meV,ΔE_PINN_FAC_meV,E_nist_meV
6,5,1,1s1,7s1,0.5,0,2S,479808.93299048225,479.8089329904823,True,28115158,C,-0.3673469387755102,-0.3677132803726699,-0.376654714345932,-253.27747613771842,-9.968662698284813,-243.3088134394336,-9996.019437301715
6,5,1,1s1,8s1,0.5,0,2S,482151.7500460999,482.1517500460999,True,28115158,C,-0.28125,-0.28149630161268846,-0.24830809235572815,896.394972587946,-6.70220831587542,903.0971809038214,-7653.202381684125
6,5,1,1s1,9s1,0.5,0,2S,483757.97770645336,483.75797770645335,True,28115158,C,-0.2222222222222222,-0.2223956892638004,-0.2858385145664215,-1731.0875025156965,-4.720278669333146,-1726.3672238463635,-6046.974721330666
6,5,1,1s1,10s1,0.5,0,2S,484906.9029035062,484.9069029035062,True,28115158,C,-0.18,-0.1801267379651659,-0.29141363501548767,-3031.7194554759685,-3.448715722160076,-3028.2707397538084,-4898.04952427784
7,6,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,N,-24.5,-24.5159828304726,-24.402372360229492,2656.5834140794673,-434.9149732940222,3091.4983873734895,-666678.963026706
7,6,1,1s1,2s1,0.5,0,2S,500009.2222700295,500.00922227002945,True,28115158,N,-6.125,-6.129998321000407,-5.8789963722229,6694.09973335692,-136.01124332351353,6830.110976680433,-166669.7407566765
7,6,1,1s1,3s1,0.5,0,2S,592603.5226904054,592.6035226904054,True,28115158,N,-2.7222222222222223,-2.7239871916091243,-2.516507863998413,5597.772857973611,-48.027263699333865,5645.800121672945,-74075.44033630067
7,6,1,1s1,4s1,0.5,0,2S,625011.5278375369,625.0115278375368,True,28115158,N,-1.53125,-1.5340807859854892,-1.409792423248291,3305.0290334924857,-77.02961083087771,3382.0586443233633,-41667.435189169126
7,6,1,1s1,5s1,0.5,0,2S,640011.8045056377,640.0118045056378,True,28115158,N,-0.98,-0.9814682118202505,-1.0174545049667358,-1019.1890013021253,-39.9520789317608,-979.2369223703646,-26667.15852106824
7,6,1,1s1,6s1,0.5,0,2S,648160.1029426308,648.1601029426307,True,28115158,N,-0.6805555555555556,-0.6814124805102065,-0.7037804126739502,-631.9805575565198,-23.318115924832767,-608.662441631687,-18518.860084075168
7,6,1,1s1,7s1,0.5,0,2S,653073.269903712,653.073269903712,True,28115158,N,-0.5,-0.5005429005664193,-0.5547757148742676,-1490.5231343438052,-14.773077006000083,-1475.750057337805,-13605.693122994
7,6,1,1s1,8s1,0.5,0,2S,656262.1042294137,656.2621042294137,True,28115158,N,-0.3828125,-0.3831778398109839,-0.33176156878471375,1389.16660751652,-9.941402707719458,1399.1080102242393,-10416.858797292281
7,6,1,1s1,9s1,0.5,0,2S,658448.3585448948,658.4483585448949,True,28115158,N,-0.30246913580246915,-0.30272662169919917,-0.2956182062625885,186.4232898537411,-7.006548188815297,193.4298380425564,-8230.604481811186
7,6,1,1s1,10s1,0.5,0,2S,660012.173396439,660.0121733964389,True,28115158,N,-0.245,-0.24518822891588976,-0.3459357023239136,-2746.600381946081,-5.121969732939995,-2741.478412213141,-6666.78963026706
8,7,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,O,-32.0,-32.02728457571666,-31.792423248291016,5648.451166440724,-742.4511283840365,6390.90229482476,-870764.359871616
8,7,1,1s1,2s1,0.5,0,2S,653073.269903712,653.073269903712,True,28115158,O,-8.0,-8.008531576818518,-7.742129325866699,7017.018515354554,-232.15603209600818,7249.174547450562,-217691.089967904
8,7,1,1s1,3s1,0.5,0,2S,774012.7643303253,774.0127643303254,True,28115158,O,-3.5555555555555554,-3.558573011482537,-3.2569117546081543,8126.511817549687,-82.10915870934674,8208.620976259033,-96751.59554129066
8,7,1,1s1,4s1,0.5,0,2S,816341.58737964,816.3415873796399,True,28115158,O,-2.0,-2.0040232977120063,-1.86528480052948,3665.787325997638,-109.47950802400237,3775.2668340216405,-54422.772491976
8,7,1,1s1,5s1,0.5,0,2S,835933.7854767513,835.9337854767513,True,28115158,O,-1.28,-1.2807437145962508,-1.2643580436706543,425.63931532070336,-20.237505135358923,445.87682045606226,-34830.57439486464
8,7,1,1s1,6s1,0.5,0,2S,846576.4609862933,846.5764609862932,True,28115158,O,-0.8888888888888888,-0.8901120501926333,-0.9656462669372559,-2088.6746613034356,-33.283914677336384,-2055.3907466260994,-24187.898885322666
8,7,1,1s1,7s1,0.5,0,2S,852993.6586497463,852.9936586497463,True,28115158,O,-0.6530612244897959,-0.6538370790508035,-0.695449948310852,-1153.4559363692722,-21.1120781302891,-1132.343858238983,-17770.701221869713
8,7,1,1s1,8s1,0.5,0,2S,857158.666748622,857.158666748622,True,28115158,O,-0.5,-0.5005225634915272,-0.5228697657585144,-622.3180294102062,-14.219677005999785,-608.0983524042064,-13605.693122994
