#   Navg =  3.000E+00
# Lambda =  1.404E+00
#      A =  0.000E+00
#     ar =  1.621E+01
#     br =  1.088E+01
#     rb =  3.333E-07
#    rb1 =  3.333E-07
# r_core =  5.527E+00
#     nb = 0
# Mean configuration:
#  1 -1	 2.000E+00
#  2 -1	 3.333E-01
#  2  1	 3.333E-01
#  2 -2	 3.333E-01


   93 1.61677770E-03 -1.85554E+03 -1.85274E+03  2.80969E-01  4.98879E-03  4.51549E-04
   94 1.76755260E-03 -1.69726E+03 -1.69446E+03  2.81258E-01  5.45402E-03  5.39191E-04
   95 1.93215539E-03 -1.55267E+03 -1.54987E+03  2.81573E-01  5.96190E-03  6.43634E-04
   96 2.11182177E-03 -1.42057E+03 -1.41777E+03  2.81916E-01  6.51626E-03  7.68046E-04
   97 2.30789345E-03 -1.29989E+03 -1.29708E+03  2.82289E-01  7.12123E-03  9.16175E-04
   98 2.52182657E-03 -1.18961E+03 -1.18681E+03  2.82694E-01  7.78131E-03  1.09246E-03
   99 2.75520084E-03 -1.08885E+03 -1.08605E+03  2.83135E-01  8.50136E-03  1.30214E-03
  100 3.00972924E-03 -9.96767E+02 -9.93965E+02  2.83614E-01  9.28665E-03  1.55142E-03
  101 3.28726839E-03 -9.12612E+02 -9.09810E+02  2.84135E-01  1.01429E-02  1.84759E-03
  102 3.58982969E-03 -8.35694E+02 -8.32893E+02  2.84699E-01  1.10764E-02  2.19927E-03
  103 3.91959107E-03 -7.65386E+02 -7.62586E+02  2.85311E-01  1.20937E-02  2.61660E-03
  104 4.27890963E-03 -7.01113E+02 -6.98314E+02  2.85973E-01  1.32022E-02  3.11151E-03
  105 4.67033499E-03 -6.42352E+02 -6.39554E+02  2.86691E-01  1.44097E-02  3.69798E-03
  106 5.09662348E-03 -5.88625E+02 -5.85827E+02  2.87467E-01  1.57246E-02  4.39246E-03
  107 5.56075323E-03 -5.39495E+02 -5.36698E+02  2.88307E-01  1.71562E-02  5.21417E-03
  108 6.06594012E-03 -4.94565E+02 -4.91769E+02  2.89212E-01  1.87143E-02  6.18562E-03
  109 6.61565458E-03 -4.53470E+02 -4.50675E+02  2.90190E-01  2.04096E-02  7.33306E-03
  110 7.21363944E-03 -4.15879E+02 -4.13085E+02  2.91243E-01  2.22535E-02  8.68712E-03
  111 7.86392866E-03 -3.81489E+02 -3.78696E+02  2.92377E-01  2.42586E-02  1.02834E-02
  112 8.57086702E-03 -3.50023E+02 -3.47232E+02  2.93593E-01  2.64379E-02  1.21633E-02
  113 9.33913084E-03 -3.21229E+02 -3.18440E+02  2.94902E-01  2.88059E-02  1.43748E-02
  114 1.01737496E-02 -2.94877E+02 -2.92089E+02  2.96301E-01  3.13779E-02  1.69732E-02
  115 1.10801289E-02 -2.70755E+02 -2.67969E+02  2.97801E-01  3.41703E-02  2.00224E-02
  116 1.20640736E-02 -2.48672E+02 -2.45888E+02  2.99399E-01  3.72009E-02  2.35962E-02
  117 1.31318129E-02 -2.28453E+02 -2.25671E+02  3.01107E-01  4.04885E-02  2.77787E-02
  118 1.42900259E-02 -2.09937E+02 -2.07157E+02  3.02918E-01  4.40532E-02  3.26665E-02
