Z,ion_charge,nele,parent_config,level_config,J,parity,term,level_meV,level_eV,has_nist_level,parent_config_id,element,E_nist_hartree,E_fac_hartree,E_pinn_hartree,ΔE_PINN_meV,ΔE_FAC_meV,ΔE_PINN_FAC_meV,E_nist_meV
7,6,1,1s1,6s1,0.5,0,2S,648160.1029426308,648.1601029426307,True,28115158,N,-0.6805555555555556,-0.6814124805102065,-0.6794846653938293,29.140405817761124,-23.318115924832767,52.45852174259389,-18518.860084075168
7,6,1,1s1,7s1,0.5,0,2S,653073.269903712,653.073269903712,True,28115158,N,-0.5,-0.5005429005664193,-0.49813970923423767,50.62109055700353,-14.773077006000083,65.3941675630036,-13605.693122994
7,6,1,1s1,8s1,0.5,0,2S,656262.1042294137,656.2621042294137,True,28115158,N,-0.3828125,-0.3831778398109839,-0.38106533885002136,47.54267688605328,-9.941402707719458,57.484079593772734,-10416.858797292281
7,6,1,1s1,9s1,0.5,0,2S,658448.3585448948,658.4483585448949,True,28115158,N,-0.30246913580246915,-0.30272662169919917,-0.3031166195869446,-17.618931347375064,-7.006548188815297,-10.612383158559767,-8230.604481811186
7,6,1,1s1,10s1,0.5,0,2S,660012.173396439,660.0121733964389,True,28115158,N,-0.245,-0.24518822891588976,-0.25047802925109863,-149.0647698184654,-5.121969732939995,-143.94280008552542,-6666.78963026706
8,7,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,O,-32.0,-32.02728457571666,-31.804819107055664,5311.142665745159,-742.4511283840365,6053.593794129196,-870764.359871616
8,7,1,1s1,2s1,0.5,0,2S,653073.269903712,653.073269903712,True,28115158,O,-8.0,-8.008531576818518,-7.978424072265625,587.1109031956029,-232.15603209600818,819.266935291611,-217691.089967904
8,7,1,1s1,3s1,0.5,0,2S,774012.7643303253,774.0127643303254,True,28115158,O,-3.5555555555555554,-3.558573011482537,-3.5524134635925293,85.5006780263168,-82.10915870934674,167.60983673566355,-96751.59554129066
8,7,1,1s1,4s1,0.5,0,2S,816341.58737964,816.3415873796399,True,28115158,O,-2.0,-2.0040232977120063,-2.001211643218994,-32.970491624381786,-109.47950802400237,76.50901639962058,-54422.772491976
8,7,1,1s1,5s1,0.5,0,2S,835933.7854767513,835.9337854767513,True,28115158,O,-1.28,-1.2807437145962508,-1.2844351530075073,-120.68666154733639,-20.237505135358923,-100.44915641197747,-34830.57439486464
8,7,1,1s1,6s1,0.5,0,2S,846576.4609862933,846.5764609862932,True,28115158,O,-0.8888888888888888,-0.8901120501926333,-0.890689492225647,-48.99691287234036,-33.283914677336384,-15.712998195003976,-24187.898885322666
8,7,1,1s1,7s1,0.5,0,2S,852993.6586497463,852.9936586497463,True,28115158,O,-0.6530612244897959,-0.6538370790508035,-0.6521506905555725,24.776890574230784,-21.1120781302891,45.88896870451988,-17770.701221869713
